incident_state	date	transportation	serious_incident	latitude	longitude
VA	1986-07-30	F	0	36.8507689	-76.2858726
GA	1986-08-12	H	0	33.7489954	-84.3879824
MI	1986-08-19	H	0	42.2917069	-85.5872286
IA	1986-08-20	H	0	41.5236437	-90.5776367
IL	1986-08-21	H	0	41.8008642	-87.9370052
WA	1986-08-29	H	0	47.6062095	-122.3320708
CA	1986-09-03	R	0	37.8043637	-122.2711137
WA	1986-09-05	H	0	47.6062095	-122.3320708
IN	1986-09-11	H	0	39.768403	-86.158068
PA	1986-09-13	H	0	40.1000961	-76.3541265
OH	1986-09-16	H	0	39.9611755	-82.9987942
MI	1986-09-17	H	0	42.680588	-83.1338214
VA	1986-09-18	R	0	37.2709704	-79.9414266
NC	1986-09-21	H	0	36.1198588	-80.0736533
IN	1986-10-03	H	0	39.768403	-86.158068
NJ	1986-10-03	H	0	40.5187154	-74.4120953
MA	1986-10-13	H	0	42.40843	-71.0536625
GA	1986-10-19	R	0	33.7489954	-84.3879824
NC	1986-10-20	H	0	35.2270869	-80.8431267
IL	1986-10-20	H	0	41.8781136	-87.6297982
WA	1986-10-23	H	0	47.6062095	-122.3320708
WV	1986-10-27	H	0	38.4325896	-82.0201368
MO	1986-11-02	H	0	38.6270025	-90.1994042
GA	1986-11-03	H	0	32.8406946	-83.6324022
PA	1986-11-10	H	0	40.0378755	-76.3055144
FL	1986-11-17	H	0	26.7153424	-80.0533746
NY	1986-11-18	H	0	40.5795317	-74.1502007
TX	1986-12-12	R	0	31.7093197	-98.9911611
IL	1986-12-15	R	0	39.8403147	-88.9548001
VA	1986-12-24	H	0	37.5407246	-77.4360481
WI	1987-01-12	H	0	43.1633426	-87.9645321
MO	1987-01-12	H	0	39.0997265	-94.5785667
WI	1987-01-12	H	0	43.1633426	-87.9645321
TN	1987-01-13	H	0	36.5331586	-82.326806
IL	1987-01-14	H	0	41.7641723	-87.7812524
TX	1987-01-21	H	0	32.8140177	-96.9488945
AR	1987-02-02	H	0	34.5003748	-91.5526281
WA	1987-02-02	H	0	47.6062095	-122.3320708
CO	1987-02-05	H	0	40.0149856	-105.2705456
IA	1987-02-24	H	0	41.5236437	-90.5776367
CO	1987-03-08	H	0	39.7392358	-104.990251
MA	1987-03-10	H	0	42.5750939	-71.0786653
OH	1987-03-13	A	0	39.8906122	-84.1988308
IN	1987-03-17	H	0	39.768403	-86.158068
MA	1987-03-19	H	0	42.2959267	-71.7128471
MN	1987-03-20	H	0	44.977753	-93.2650108
