incident_state	date	transportation	serious_incident	latitude	longitude
KY	1996-03-04	H	0	38.2526647	-85.7584557
NJ	1996-03-06	H	0	40.7895453	-74.0565298
DC	1996-03-08	H	0	38.9071923	-77.0368707
NJ	1996-03-13	H	0	40.7895453	-74.0565298
IL	1996-03-14	H	0	41.7689207	-87.857835
IA	1996-03-14	R	0	41.8444735	-90.1887379
IL	1996-03-14	H	0	41.7689207	-87.857835
OR	1996-03-15	H	0	45.5230622	-122.6764816
MD	1996-03-15	H	0	39.4737199	-76.2413446
TX	1996-03-18	H	0	29.7604267	-95.3698028
OH	1996-03-19	H	0	39.8789527	-82.9507363
TN	1996-03-20	H	0	35.3414744	-89.8973084
WA	1996-03-21	H	0	47.6587802	-117.4260466
PA	1996-03-25	H	0	40.1350928	-76.8596945
IA	1996-03-26	H	0	41.6005448	-93.6091064
KY	1996-03-27	H	0	38.2526647	-85.7584557
IL	1996-03-28	H	0	41.7689207	-87.857835
MA	1996-04-01	H	0	42.5998139	-71.3672838
OR	1996-04-03	H	0	45.5230622	-122.6764816
MI	1996-04-04	H	0	42.9133602	-85.7053085
NJ	1996-04-04	H	0	40.7895453	-74.0565298
MN	1996-04-08	R	0	44.9537029	-93.0899578
WA	1996-04-11	H	0	47.6587802	-117.4260466
MO	1996-04-12	R	0	39.1429081	-94.5729781
MO	1996-04-14	H	0	38.7699175	-90.4667501
OH	1996-04-15	H	0	41.3614401	-81.812912
CA	1996-04-15	H	0	37.654656	-122.4077498
MO	1996-04-16	H	0	38.7699175	-90.4667501
NE	1996-04-18	H	0	41.2523634	-95.9979883
NJ	1996-04-18	H	0	40.7895453	-74.0565298
OH	1996-04-19	H	0	41.3614401	-81.812912
IN	1996-04-19	H	0	39.7042123	-86.3994387
TN	1996-04-20	A	0	35.1495343	-90.0489801
AZ	1996-04-22	H	0	32.2217429	-110.926479
OH	1996-04-23	H	0	41.3614401	-81.812912
PA	1996-04-23	H	0	40.1350928	-76.8596945
MO	1996-04-25	H	0	38.7699175	-90.4667501
TX	1996-04-28	H	0	32.8140177	-96.9488945
IA	1996-04-29	H	1	42.2241596	-91.8743444
IL	1996-04-30	H	0	41.9348537	-87.879523
IL	1996-05-01	H	0	41.7689207	-87.857835
CO	1996-05-06	H	0	39.8083196	-104.9338675
MI	1996-05-06	H	0	42.9633599	-85.6680863
OH	1996-05-06	H	0	41.3614401	-81.812912
WI	1996-05-08	H	0	43.9632962	-91.2562539
IL	1996-05-08	H	0	41.7689207	-87.857835
NC	1996-05-08	H	0	35.4087517	-80.579511
CA	1996-05-10	R	0	34.0522342	-118.2436849
IN	1996-05-10	H	0	39.7042123	-86.3994387
MA	1996-05-14	H	0	42.5998139	-71.3672838
NM	1996-05-14	H	0	35.2327544	-106.6630437
TX	1996-05-16	H	0	32.7766642	-96.7969879
TN	1996-05-18	A	0	35.1495343	-90.0489801
OH	1996-05-20	H	0	40.75839	-82.5154471
OH	1996-05-21	H	0	41.6639383	-83.555212
MO	1996-05-21	H	0	38.6270025	-90.1994042
CA	1996-05-23	H	0	34.003903	-118.230073
MD	1996-05-28	H	0	39.2903848	-76.6121893
CO	1996-05-30	H	0	39.8083196	-104.9338675
NY	1996-05-30	H	0	43.16103	-77.6109219
MO	1996-05-30	H	0	39.0997265	-94.5785667
OH	1996-05-31	H	0	41.3614401	-81.812912
NY	1996-06-06	H	0	40.7003793	-73.5929056
IA	1996-06-07	H	0	41.5236437	-90.5776367
GA	1996-06-08	H	0	33.952602	-84.5499327
CA	1996-06-11	H	0	34.003903	-118.230073
TX	1996-06-14	H	0	29.7604267	-95.3698028
NJ	1996-06-14	H	0	40.5575986	-74.2846022
GA	1996-06-16	H	0	30.6846637	-83.1828732
CA	1996-06-18	H	0	34.003903	-118.230073
OH	1996-06-19	H	0	41.3614401	-81.812912
WA	1996-06-21	A	0	47.6062095	-122.3320708
TX	1996-06-22	H	0	29.7604267	-95.3698028
TN	1996-06-23	A	0	35.1495343	-90.0489801
MN	1996-06-27	R	0	45.1732394	-93.3030063
UT	1996-06-28	H	0	40.7607793	-111.8910474
CO	1996-07-03	H	0	39.8083196	-104.9338675
IL	1996-07-03	H	0	41.7689207	-87.857835
FL	1996-07-05	H	0	27.950575	-82.4571776
NY	1996-07-09	H	0	40.7003793	-73.5929056
NJ	1996-07-10	H	0	40.6639916	-74.2107006
OH	1996-07-10	H	0	41.3614401	-81.812912
OH	1996-07-11	H	0	41.3614401	-81.812912
TX	1996-07-11	H	0	30.6743643	-96.3699632
OR	1996-07-11	H	0	45.5230622	-122.6764816
PA	1996-07-11	H	0	41.0120296	-76.8477412
IL	1996-07-13	H	0	41.4883685	-87.5675414
FL	1996-07-15	H	0	26.5317866	-80.0905465
NJ	1996-07-15	H	0	40.5187154	-74.4120953
NJ	1996-07-15	H	0	40.5187154	-74.4120953
OH	1996-07-16	H	0	39.8814519	-83.0929644
OH	1996-07-17	H	0	41.3614401	-81.812912
CA	1996-07-18	H	0	37.654656	-122.4077498
OH	1996-07-19	R	0	41.2844933	-84.3557802
WA	1996-07-19	H	0	47.6062095	-122.3320708
NC	1996-07-22	H	0	35.2270869	-80.8431267
NJ	1996-07-24	H	0	40.8652865	-74.4173877
PA	1996-07-25	H	0	40.5409008	-79.7839373
CO	1996-07-26	H	0	39.8083196	-104.9338675
IL	1996-07-28	H	0	38.995878	-88.9528394
TX	1996-07-29	H	0	30.267153	-97.7430608
FL	1996-07-29	A	0	27.4467056	-80.3256056
CO	1996-07-30	H	0	39.8083196	-104.9338675
VT	1996-08-01	H	0	44.4014456	-72.3123248
NY	1996-08-01	H	0	41.4839827	-74.2176487
PA	1996-08-01	H	0	40.1000961	-76.3541265
UT	1996-08-01	H	0	40.7607793	-111.8910474
PA	1996-08-01	H	0	39.9525839	-75.1652215
CO	1996-08-02	H	0	39.8083196	-104.9338675
IA	1996-08-02	H	0	41.5236437	-90.5776367
NM	1996-08-02	H	0	35.0853336	-106.6055534
MA	1996-08-02	H	0	42.5998139	-71.3672838
FL	1996-08-02	H	0	28.5383355	-81.3792365
WY	1996-08-06	R	0	41.1399814	-104.8202462
GA	1996-08-07	H	0	33.7489954	-84.3879824
NC	1996-08-07	H	0	36.0726354	-79.7919754
NC	1996-08-08	H	0	35.612661	-77.3663538
IL	1996-08-12	H	0	41.7689207	-87.857835
NY	1996-08-13	H	0	40.7127837	-74.0059413
WY	1996-08-15	R	0	41.1399814	-104.8202462
GA	1996-08-17	H	0	33.952602	-84.5499327
NC	1996-08-19	H	0	35.7795897	-78.6381787
IL	1996-08-22	R	0	39.8403147	-88.9548001
MI	1996-08-26	H	0	42.9633599	-85.6680863
OH	1996-08-27	H	0	41.6639383	-83.555212
FL	1996-08-27	H	0	28.5383355	-81.3792365
MA	1996-08-27	H	0	42.2695216	-71.6161294
MI	1996-08-30	H	0	42.331427	-83.0457538
ID	1996-08-30	H	0	43.6187102	-116.2146068
WA	1996-09-01	R	0	47.6062095	-122.3320708
IL	1996-09-03	H	0	41.8781136	-87.6297982
GA	1996-09-03	H	0	33.952602	-84.5499327
IL	1996-09-03	H	0	42.3636331	-87.8447938
IA	1996-09-03	H	0	41.5236437	-90.5776367
GA	1996-09-10	H	0	33.7489954	-84.3879824
NY	1996-09-12	H	0	40.7003793	-73.5929056
CA	1996-09-14	R	0	35.2127399	-118.5525891
IL	1996-09-14	H	0	41.7689207	-87.857835
AL	1996-09-14	H	0	33.5206608	-86.80249
CA	1996-09-16	H	0	34.003903	-118.230073
IL	1996-09-19	H	0	41.7689207	-87.857835
OH	1996-09-19	H	0	41.3614401	-81.812912
IA	1996-09-19	R	0	41.0586002	-94.3613474
VA	1996-09-20	H	0	37.5407246	-77.4360481
MO	1996-09-23	H	0	38.6270025	-90.1994042
NY	1996-09-23	H	0	40.8370495	-73.8654295
NV	1996-09-25	H	0	39.5349112	-119.7526886
NY	1996-09-26	H	0	40.7003793	-73.5929056
NY	1996-09-27	H	0	41.4839827	-74.2176487
CO	1996-09-30	H	0	38.8338816	-104.8213634
TX	1996-09-30	H	0	31.7618778	-106.4850217
IL	1996-10-01	R	0	39.8403147	-88.9548001
PA	1996-10-02	H	0	40.1350928	-76.8596945
CA	1996-10-02	H	0	34.003903	-118.230073
IA	1996-10-02	R	0	41.2619444	-95.8608333
OH	1996-10-03	H	0	41.5519954	-81.4784522
TN	1996-10-05	A	0	35.1495343	-90.0489801
OH	1996-10-10	A	0	39.4453393	-83.8285375
MI	1996-10-14	H	0	42.36837	-83.3527097
KS	1996-10-14	H	0	38.9536174	-94.7335709
IN	1996-10-15	H	0	39.7042123	-86.3994387
CO	1996-10-16	H	0	39.7294319	-104.8319195
IL	1996-10-16	H	0	41.7641723	-87.7812524
MI	1996-10-17	H	1	42.680588	-83.1338214
IL	1996-10-17	H	0	41.7689207	-87.857835
VA	1996-10-21	R	0	36.7682088	-76.2874927
TN	1996-10-21	H	0	36.548434	-82.5618186
LA	1996-10-22	H	0	30.4582829	-91.1403196
NJ	1996-10-22	H	0	40.7895453	-74.0565298
CA	1996-10-22	H	0	37.4529598	-122.1817252
VA	1996-10-23	R	0	36.7682088	-76.2874927
PA	1996-10-25	H	0	40.2010241	-77.2002745
TN	1996-10-26	A	0	35.1495343	-90.0489801
OH	1996-10-29	A	0	39.4453393	-83.8285375
IL	1996-10-30	H	0	41.9348537	-87.879523
KY	1996-10-30	H	0	38.2526647	-85.7584557
MD	1996-10-31	R	0	39.6417629	-77.7199932
UT	1996-10-31	H	0	40.7607793	-111.8910474
NY	1996-11-01	H	0	41.5275938	-74.236816
IN	1996-11-02	A	0	39.768403	-86.158068
KS	1996-11-03	R	0	39.114053	-94.6274636
OH	1996-11-04	H	0	39.7589478	-84.1916069
CA	1996-11-04	H	0	34.003903	-118.230073
NC	1996-11-07	H	0	35.2270869	-80.8431267
KY	1996-11-07	H	0	38.2526647	-85.7584557
GA	1996-11-11	H	0	33.7489954	-84.3879824
MN	1996-11-11	H	0	44.977753	-93.2650108
IN	1996-11-14	H	0	39.768403	-86.158068
NC	1996-11-14	H	0	36.0726354	-79.7919754
MA	1996-11-15	H	0	42.0433661	-71.9276033
CA	1996-11-15	H	0	34.003903	-118.230073
NY	1996-11-24	H	0	41.4839827	-74.2176487
NJ	1996-12-02	H	0	40.5187154	-74.4120953
PA	1996-12-03	H	0	40.1350928	-76.8596945
MA	1996-12-04	H	0	42.5998139	-71.3672838
VA	1996-12-06	H	0	36.665634	-78.2128692
IL	1996-12-06	H	0	41.7689207	-87.857835
NM	1996-12-08	R	0	34.6627652	-106.7761546
NJ	1996-12-10	H	0	40.7895453	-74.0565298
CO	1996-12-11	H	0	39.8083196	-104.9338675
KS	1996-12-16	R	0	39.114053	-94.6274636
NY	1996-12-17	H	0	43.0653446	-76.0785332
NY	1996-12-17	H	0	40.7003793	-73.5929056
KS	1996-12-21	H	0	39.114053	-94.6274636
KY	1996-12-23	H	0	38.0405837	-84.5037164
KS	1996-12-30	R	0	39.114053	-94.6274636
IL	1997-01-02	H	0	41.7689207	-87.857835
KY	1997-01-03	H	0	38.2526647	-85.7584557
KY	1997-01-03	R	0	38.2526647	-85.7584557
CA	1997-01-06	H	0	37.36883	-122.0363496
IL	1997-01-06	H	0	41.7689207	-87.857835
TX	1997-01-07	H	0	29.7604267	-95.3698028
IL	1997-01-07	H	0	40.124481	-87.6300207
MO	1997-01-09	H	0	39.0997265	-94.5785667
PA	1997-01-13	H	0	40.2114977	-74.7879399
MA	1997-01-13	H	0	42.2959267	-71.7128471
IA	1997-01-15	H	0	42.468826	-92.2200485
KY	1997-01-16	H	0	38.2526647	-85.7584557
IL	1997-01-17	H	0	41.429479	-88.1617179
NV	1997-01-19	R	0	36.0180284	-115.2308304
FL	1997-01-20	H	0	26.7153424	-80.0533746
TX	1997-01-20	H	0	32.912624	-96.6388833
VA	1997-01-20	H	0	37.5407246	-77.4360481
NC	1997-01-21	H	0	35.2270869	-80.8431267
CA	1997-01-21	H	0	34.003903	-118.230073
AZ	1997-01-24	H	0	33.4483771	-112.0740373
IA	1997-01-29	R	1	41.2619444	-95.8608333
MN	1997-01-31	R	0	45.1223711	-95.048659
TX	1997-02-01	R	0	33.0198431	-96.6988856
CA	1997-02-03	H	0	38.232417	-122.6366524
NJ	1997-02-03	H	0	40.8898212	-74.1948674
CA	1997-02-03	R	0	34.8957957	-117.0172826
IL	1997-02-04	H	0	41.7689207	-87.857835
CA	1997-02-04	R	0	34.0005691	-118.1597929
MI	1997-02-11	H	0	42.2722641	-84.9633148
GA	1997-02-13	H	0	33.609725	-84.2873662
CT	1997-02-14	H	0	41.7637111	-72.6850932
NJ	1997-02-14	H	0	40.7464901	-74.1562551
TX	1997-02-16	R	0	32.7554883	-97.3307658
AR	1997-02-18	H	0	36.2553543	-94.1307587
OH	1997-02-19	A	0	39.4453393	-83.8285375
NJ	1997-02-19	H	0	40.0506669	-74.9535016
LA	1997-02-19	R	0	29.9060388	-90.1422962
AK	1997-02-21	A	0	61.2180556	-149.9002778
IL	1997-02-25	H	0	41.7689207	-87.857835
VA	1997-02-28	H	0	38.3031837	-77.4605399
KS	1997-02-28	R	0	39.114053	-94.6274636
TX	1997-03-01	H	0	32.8140177	-96.9488945
CA	1997-03-03	A	0	37.7749295	-122.4194155
NC	1997-03-04	H	0	35.7795897	-78.6381787
NC	1997-03-05	H	0	35.2270869	-80.8431267
WA	1997-03-06	H	0	47.6062095	-122.3320708
IN	1997-03-06	H	0	39.768403	-86.158068
IL	1997-03-07	H	0	41.7641723	-87.7812524
FL	1997-03-09	H	0	26.7153424	-80.0533746
IL	1997-03-11	H	0	41.9348537	-87.879523
NJ	1997-03-11	H	0	40.7895453	-74.0565298
CO	1997-03-14	H	0	39.8083196	-104.9338675
IL	1997-03-14	H	0	41.7689207	-87.857835
IL	1997-03-14	H	0	41.7689207	-87.857835
CA	1997-03-17	H	0	33.1192068	-117.086421
TX	1997-03-18	H	0	29.7604267	-95.3698028
NJ	1997-03-18	R	0	40.5653823	-74.2604236
IN	1997-03-20	H	0	39.768403	-86.158068
KY	1997-03-20	H	0	39.02756	-84.7241133
IL	1997-03-20	H	0	41.9348537	-87.879523
NY	1997-03-25	H	0	40.8370495	-73.8654295
CA	1997-03-25	H	0	34.003903	-118.230073
IL	1997-03-26	H	0	41.7689207	-87.857835
IL	1997-03-27	H	0	41.7689207	-87.857835
CO	1997-03-27	R	0	37.1200251	-101.6321057
CO	1997-03-29	A	0	39.7392358	-104.990251
CO	1997-04-01	H	0	39.8083196	-104.9338675
KY	1997-04-02	A	0	38.2526647	-85.7584557
MS	1997-04-02	H	0	33.7690049	-89.8084192
PA	1997-04-03	H	0	39.9525839	-75.1652215
CA	1997-04-03	A	0	37.36883	-122.0363496
IN	1997-04-08	H	0	39.768403	-86.158068
OH	1997-04-08	H	0	39.9617305	-82.4912676
TX	1997-04-08	R	0	31.0982344	-97.342782
IL	1997-04-09	R	0	41.6333678	-87.6331021
VA	1997-04-12	H	0	37.9791286	-75.530229
SC	1997-04-14	H	0	33.9934867	-81.0739825
TN	1997-04-14	H	0	36.0156178	-86.5819394
TX	1997-04-14	H	0	33.425125	-94.0476882
OH	1997-04-15	H	0	39.440336	-84.3621634
IN	1997-04-16	H	0	39.768403	-86.158068
CA	1997-04-16	H	0	32.715738	-117.1610838
CA	1997-04-16	H	0	32.715738	-117.1610838
MN	1997-04-17	H	1	44.3144394	-94.4593018
OH	1997-04-17	H	0	39.1031182	-84.5120196
TN	1997-04-17	A	0	35.1495343	-90.0489801
UT	1997-04-18	H	0	40.7607793	-111.8910474
IA	1997-04-19	R	0	41.2619444	-95.8608333
NY	1997-04-20	H	0	41.4839827	-74.2176487
ND	1997-04-22	H	0	48.2329668	-101.2922906
NC	1997-04-24	H	0	35.2270869	-80.8431267
IL	1997-04-25	H	0	41.7689207	-87.857835
CA	1997-04-25	H	0	32.715738	-117.1610838
CA	1997-04-25	H	0	32.715738	-117.1610838
FL	1997-04-25	H	0	30.3321838	-81.655651
MA	1997-04-28	H	0	42.5998139	-71.3672838
IL	1997-04-28	H	0	41.7689207	-87.857835
NJ	1997-04-28	H	0	40.1480827	-74.6945737
GA	1997-04-28	H	0	33.7489954	-84.3879824
CA	1997-04-28	H	0	33.1192068	-117.086421
OH	1997-04-28	H	0	41.5519954	-81.4784522
NJ	1997-05-05	H	0	40.7895453	-74.0565298
LA	1997-05-05	H	0	31.1435194	-93.260998
NJ	1997-05-06	H	0	40.5187154	-74.4120953
KS	1997-05-08	H	0	38.9536174	-94.7335709
OH	1997-05-08	H	0	39.9611755	-82.9987942
CO	1997-05-08	R	0	39.9202178	-104.8660597
NY	1997-05-09	R	0	42.8864468	-78.8783689
IL	1997-05-11	R	0	38.5285169	-89.1316944
CA	1997-05-12	H	0	34.003903	-118.230073
OH	1997-05-14	H	0	41.6639383	-83.555212
GA	1997-05-15	H	0	33.952602	-84.5499327
IL	1997-05-15	R	0	39.1200418	-88.5433829
MO	1997-05-16	H	0	36.6211735	-93.2154587
LA	1997-05-16	R	0	29.9129834	-90.2036868
OH	1997-05-21	H	0	39.9611755	-82.9987942
KS	1997-05-21	H	0	38.9536174	-94.7335709
IL	1997-05-22	H	0	41.7689207	-87.857835
CO	1997-05-23	H	0	39.8083196	-104.9338675
CA	1997-05-25	H	0	33.590277	-117.6962824
MI	1997-05-28	H	0	42.842256	-84.5691487
CA	1997-05-29	H	0	37.654656	-122.4077498
CO	1997-05-29	H	0	39.9202178	-104.8660597
KS	1997-06-02	H	0	37.6871761	-97.330053
IL	1997-06-02	H	0	41.9172526	-87.8956185
NM	1997-06-03	H	0	35.0853336	-106.6055534
OH	1997-06-04	H	0	39.8814519	-83.0929644
KY	1997-06-06	A	0	38.2526647	-85.7584557
NY	1997-06-09	H	0	40.7325997	-73.4454009
OH	1997-06-13	H	0	41.3614401	-81.812912
WY	1997-06-13	R	0	41.1399814	-104.8202462
IL	1997-06-14	H	0	41.8781136	-87.6297982
IL	1997-06-15	H	0	41.7014217	-87.7792196
ME	1997-06-16	H	0	43.6414716	-70.2408811
CA	1997-06-17	H	0	34.2163937	-119.0376023
CO	1997-06-18	H	0	39.8083196	-104.9338675
IN	1997-06-18	H	0	39.768403	-86.158068
MO	1997-06-19	H	0	38.7699175	-90.4667501
TN	1997-06-21	A	0	35.1495343	-90.0489801
IL	1997-06-23	H	0	41.7689207	-87.857835
OH	1997-06-24	H	0	39.8814519	-83.0929644
IL	1997-06-24	H	0	41.7689207	-87.857835
WV	1997-06-24	H	0	38.4325896	-82.0201368
WA	1997-06-26	R	0	47.6062095	-122.3320708
WA	1997-06-26	R	0	47.6062095	-122.3320708
PA	1997-06-27	H	0	40.1350928	-76.8596945
TN	1997-06-27	A	0	35.1495343	-90.0489801
MA	1997-06-27	H	0	42.5998139	-71.3672838
KY	1997-06-30	H	0	38.2526647	-85.7584557
CO	1997-07-01	H	0	39.8083196	-104.9338675
PA	1997-07-02	H	0	40.1350928	-76.8596945
KY	1997-07-03	A	0	38.2526647	-85.7584557
PA	1997-07-07	H	0	40.3356483	-75.9268747
VA	1997-07-07	H	0	37.5407246	-77.4360481
AZ	1997-07-07	H	0	33.4483771	-112.0740373
WV	1997-07-11	H	0	38.2320461	-81.5376184
OH	1997-07-12	R	0	40.742551	-84.1052256
IL	1997-07-15	H	0	41.7689207	-87.857835
GA	1997-07-16	H	0	33.7489954	-84.3879824
CO	1997-07-18	H	0	39.8083196	-104.9338675
TN	1997-07-20	A	0	35.1495343	-90.0489801
FL	1997-07-21	H	0	30.3321838	-81.655651
AZ	1997-07-21	H	0	33.4483771	-112.0740373
CO	1997-07-22	H	0	39.8083196	-104.9338675
PA	1997-07-23	H	0	40.4406248	-79.9958864
OH	1997-07-24	H	0	39.8789527	-82.9507363
PA	1997-07-25	H	0	40.1000961	-76.3541265
GA	1997-07-25	A	0	33.7489954	-84.3879824
NJ	1997-07-28	H	0	40.735657	-74.1723667
WV	1997-07-30	H	0	38.3498195	-81.6326234
VT	1997-07-31	H	0	44.2152614	-72.5861615
IL	1997-07-31	H	0	41.506146	-87.6355995
AR	1997-07-31	H	0	35.3859242	-94.3985475
MS	1997-08-06	H	0	32.3643098	-88.703656
NE	1997-08-06	R	0	40.5862583	-98.3898726
IL	1997-08-07	H	0	41.506146	-87.6355995
CO	1997-08-13	H	0	39.7294319	-104.8319195
KY	1997-08-13	A	0	38.2526647	-85.7584557
GA	1997-08-18	H	0	30.6846637	-83.1828732
ID	1997-08-18	H	0	42.8713032	-112.4455344
GA	1997-08-21	H	0	33.7489954	-84.3879824
IL	1997-08-21	H	0	41.8781136	-87.6297982
NY	1997-08-23	A	0	40.702677	-73.7889689
IL	1997-08-26	H	0	41.7689207	-87.857835
IL	1997-08-27	H	0	41.7689207	-87.857835
WA	1997-08-30	R	0	47.6062095	-122.3320708
CO	1997-09-05	A	0	39.7392358	-104.990251
UT	1997-09-06	H	0	40.7607793	-111.8910474
TX	1997-09-14	H	0	32.7766642	-96.7969879
NJ	1997-09-17	H	0	40.7895453	-74.0565298
TN	1997-09-18	R	0	35.7328541	-84.3338112
ME	1997-09-19	H	0	44.100351	-70.2147764
NC	1997-09-22	H	0	35.2270869	-80.8431267
TX	1997-09-24	H	0	29.4241219	-98.4936282
KY	1997-09-25	H	0	38.0405837	-84.5037164
PA	1997-09-26	H	0	40.2010241	-77.2002745
MA	1997-10-02	H	0	42.5998139	-71.3672838
IL	1997-10-05	H	0	41.7014217	-87.7792196
AZ	1997-10-05	R	0	33.4483771	-112.0740373
AZ	1997-10-08	H	0	33.4483771	-112.0740373
MA	1997-10-09	H	0	42.5998139	-71.3672838
OR	1997-10-12	H	0	45.5230622	-122.6764816
TN	1997-10-14	A	0	35.1495343	-90.0489801
IL	1997-10-14	H	1	41.8133651	-87.8181128
CA	1997-10-14	H	0	39.1501709	-123.2077831
NY	1997-10-15	H	0	40.8370495	-73.8654295
PA	1997-10-15	H	0	40.2192374	-79.6094849
TN	1997-10-16	A	0	35.1495343	-90.0489801
MI	1997-10-16	H	0	42.6389216	-83.2910468
OK	1997-10-17	H	0	35.4675602	-97.5164276
MO	1997-10-17	H	0	38.7699175	-90.4667501
AZ	1997-10-19	R	0	33.4483771	-112.0740373
IL	1997-10-22	H	0	41.7689207	-87.857835
MI	1997-10-22	H	0	42.2011538	-85.5800022
UT	1997-10-23	H	0	40.7607793	-111.8910474
FL	1997-10-23	H	0	28.5383355	-81.3792365
MA	1997-10-23	H	0	42.5998139	-71.3672838
OH	1997-10-25	H	0	39.7589478	-84.1916069
CA	1997-10-27	H	0	34.003903	-118.230073
UT	1997-10-28	H	0	40.7607793	-111.8910474
CA	1997-10-29	H	0	33.8352932	-117.9145036
PA	1997-10-29	H	0	40.2192374	-79.6094849
IL	1997-10-31	H	0	41.7689207	-87.857835
OK	1997-11-03	H	0	36.188987	-95.745817
MN	1997-11-03	H	0	44.977753	-93.2650108
NC	1997-11-03	H	0	35.2270869	-80.8431267
CO	1997-11-04	H	0	39.8083196	-104.9338675
NJ	1997-11-04	H	0	40.5773266	-74.2282005
IL	1997-11-05	H	0	41.7689207	-87.857835
IL	1997-11-05	H	0	41.7689207	-87.857835
NC	1997-11-06	H	0	35.2270869	-80.8431267
AZ	1997-11-06	H	0	33.4483771	-112.0740373
NC	1997-11-07	H	0	35.2270869	-80.8431267
NV	1997-11-07	R	0	39.5349112	-119.7526886
MS	1997-11-07	H	0	32.2390366	-90.1584206
MA	1997-11-09	A	0	42.3600825	-71.0588801
TN	1997-11-11	A	0	35.1495343	-90.0489801
MD	1997-11-13	H	0	39.2903848	-76.6121893
WA	1997-11-13	R	0	47.6587802	-117.4260466
WA	1997-11-13	H	0	47.6587802	-117.4260466
TX	1997-11-14	H	0	29.7604267	-95.3698028
NY	1997-11-17	H	0	40.6781784	-73.9441579
TN	1997-11-17	R	0	35.7328541	-84.3338112
NY	1997-11-19	H	0	43.100903	-75.232664
PA	1997-11-20	H	0	40.1000961	-76.3541265
AZ	1997-11-20	H	0	33.4483771	-112.0740373
MO	1997-11-20	A	0	38.6270025	-90.1994042
PA	1997-11-20	H	0	40.1000961	-76.3541265
IL	1997-11-21	H	0	41.6100344	-87.6467131
TN	1997-11-23	H	0	36.548434	-82.5618186
IN	1997-11-24	H	0	39.768403	-86.158068
IL	1997-11-24	H	0	41.7689207	-87.857835
KY	1997-11-25	H	0	38.2526647	-85.7584557
UT	1997-11-25	H	0	40.7607793	-111.8910474
IN	1997-11-25	H	0	39.7042123	-86.3994387
MO	1997-11-25	H	0	38.7699175	-90.4667501
UT	1997-11-26	H	0	40.7607793	-111.8910474
IN	1997-11-26	H	0	39.768403	-86.158068
TN	1997-11-27	A	0	35.1495343	-90.0489801
IL	1997-12-01	H	0	41.7689207	-87.857835
AR	1997-12-01	H	0	34.7464809	-92.2895948
OH	1997-12-04	H	0	41.6639383	-83.555212
SD	1997-12-05	H	1	44.3113573	-96.7983877
IL	1997-12-08	H	0	41.7641723	-87.7812524
OR	1997-12-09	H	0	45.5230622	-122.6764816
AZ	1997-12-09	R	0	32.2217429	-110.926479
UT	1997-12-10	H	0	40.7607793	-111.8910474
UT	1997-12-10	H	0	40.7607793	-111.8910474
NC	1997-12-12	H	0	36.0726354	-79.7919754
MA	1997-12-12	H	0	42.5750939	-71.0786653
TN	1997-12-15	R	0	35.7328541	-84.3338112
UT	1997-12-16	H	0	40.7607793	-111.8910474
MD	1997-12-19	H	0	39.2903848	-76.6121893
IL	1997-12-19	H	0	41.931696	-87.9889556
AZ	1997-12-24	R	0	32.2217429	-110.926479
GA	1997-12-26	H	0	30.6846637	-83.1828732
TN	1997-12-27	A	0	35.1495343	-90.0489801
IL	1997-12-29	H	0	41.7641723	-87.7812524
NC	1997-12-30	A	0	35.9940329	-78.898619
IA	1998-01-01	R	0	41.2619444	-95.8608333
UT	1998-01-02	H	0	40.7607793	-111.8910474
NC	1998-01-05	H	0	34.2257255	-77.9447102
OH	1998-01-07	H	0	41.3614401	-81.812912
OH	1998-01-08	H	0	40.2339147	-81.3445012
UT	1998-01-09	H	0	40.7607793	-111.8910474
WA	1998-01-09	H	0	47.5301011	-122.0326191
NJ	1998-01-11	R	0	40.735657	-74.1723667
IL	1998-01-13	H	0	41.7689207	-87.857835
PA	1998-01-13	H	0	41.0398099	-75.3057288
IL	1998-01-14	H	0	41.4883685	-87.5675414
KY	1998-01-17	A	0	38.2526647	-85.7584557
IL	1998-01-19	H	0	41.7689207	-87.857835
IN	1998-01-20	H	0	39.768403	-86.158068
NY	1998-01-20	H	0	41.2625965	-73.8183804
WA	1998-01-20	H	0	47.0378741	-122.9006951
NY	1998-01-21	H	0	40.7294018	-73.9065883
NY	1998-01-22	H	0	40.7003793	-73.5929056
TX	1998-01-23	H	0	29.7604267	-95.3698028
MI	1998-01-28	H	0	42.331427	-83.0457538
KY	1998-01-28	H	0	38.0405837	-84.5037164
OH	1998-01-29	A	0	39.4453393	-83.8285375
WA	1998-02-02	H	0	47.6587802	-117.4260466
TX	1998-02-03	R	0	31.7618778	-106.4850217
IA	1998-02-05	R	0	41.2619444	-95.8608333
TN	1998-02-06	H	0	35.1495343	-90.0489801
PA	1998-02-06	H	0	41.0398099	-75.3057288
PA	1998-02-09	H	0	40.1350928	-76.8596945
OR	1998-02-10	H	0	45.5230622	-122.6764816
ND	1998-02-10	H	0	46.8771863	-96.7898034
LA	1998-02-12	H	0	31.3112936	-92.4451371
OH	1998-02-17	H	0	41.3614401	-81.812912
KS	1998-02-17	H	0	39.114053	-94.6274636
MI	1998-02-18	H	0	42.680588	-83.1338214
KY	1998-02-22	H	0	38.2009055	-84.8732835
GA	1998-02-23	H	0	31.2135511	-82.3540178
NE	1998-03-02	H	0	40.8257625	-96.6851982
